"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.255394.256194",2.94527883449765,2.26244494645812,2.17863742137366,3.83696246578282,0,2.85540419768192
"CM002236.1.255665.256465",3.23560861803661,2.57738269092159,2.38999632751117,4.1404250273532,0,2.83198476438896
"CM002236.1.256992.257792",4.22217866829857,3.60220099729844,3.50833213425373,4.84687806784375,0,3.02776170797081
"CM002236.1.263087.263887",4.32231597471269,3.65006005583684,3.84001968301455,4.28449388958777,0,2.17572088397163
"CM002236.1.265088.265888",3.39659244072251,3.4861903044159,3.06895388459176,3.55470458014735,0,2.29329470371077
"CM002236.1.291132.291932",4.8266312179653,4.56248968244,4.63312995205517,4.96544004823293,0,3.18270306342261
"CM002236.1.292666.293466",4.54586316944758,4.33882194349398,4.26751712798021,5.03163766019981,0,3.35356654012471
"CM002236.1.297470.298270",4.79071666733765,4.29185443403067,4.34387537833833,4.96842434447731,0,3.45062212276227
"CM002236.1.301852.302652",4.2225733077686,3.62731443975686,3.60186446131029,4.58837201098485,0,2.55844480950416
"CM002236.1.8867349.8868149",1.83239412947538,0,0,1.14117391644138,0,1.86894567963123
"CM002236.1.9651209.9652009",2.19760940645739,2.81418469053177,2.78135368158709,0,0,0
"CM002236.1.9688432.9689232",2.57812133433297,3.21708344559939,2.93853810502834,-0.821608074372176,0,1.13554506461216
"CM002236.1.9690243.9691043",3.53929914791051,3.78453417634705,3.63947107130103,0,0,3.01210626074344
"CM002236.1.9689477.9690277",3.33824108655039,3.72551180179313,3.62751675005788,0,0,2.69203788391978
"CM002236.1.9693040.9693840",2.38841944922029,2.59015780017241,2.56132093853782,0,0,2.72627483310481
"CM002236.1.9694131.9694931",0,1.05616323963233,0.934116245753417,-1.49364094482942,0,0
"CM002236.1.9759096.9759896",4.03365275355482,4.90639250023145,4.68669669760007,0,0,2.47399083099048
"CM002236.1.9771869.9772669",4.10493366724425,5.01170779588491,4.29221399499926,0,0,2.62154033210683
"CM002237.1.10729.11529",4.94852759485761,4.88492707318638,4.99561211335562,-0.844754648889364,0,1.72966676174575
"CM002237.1.11141.11941",4.86645247491157,4.89839901765898,4.91838852578767,-1.30047404332892,0,0
"CM002237.1.13011.13811",3.90249191049643,4.85640040887504,4.33717284160258,0,0,2.35477655004646
"CM002237.1.17873.18673",3.0276279554116,3.33393820196592,2.85506257837513,-1.27751941086838,0,0.913855707025348
"CM002237.1.18541.19341",3.42283656197573,3.71371719098312,3.38688477319123,-0.939570727581229,0,2.02552696188288
"CM002237.1.35327.36127",3.64575376754693,4.06313009806309,3.7936543276825,0,0,2.5416102137127
"CM002237.1.37953.38753",0,0,0,-1.07888075146718,0,0
"CM002237.1.41101.41901",2.22140453508384,2.93627456868715,2.95433905011197,0,0,1.43444552086327
"CM002237.1.51442.52242",2.58654664198363,2.78829582864462,2.53663658893206,0,0,0
"CM002237.1.55703.56503",3.02013218884617,3.1768558846688,3.24478248901954,0,0,2.18321028977252
"CM002237.1.69944.70744",1.98259756198383,2.15031369723531,2.3576039758811,-0.780200298137791,0,0
"CM002237.1.74042.74842",2.96475625324916,3.39802915705171,3.22650756656084,0,0,0
"CM002237.1.75100.75900",2.14945649885177,2.74408380091532,2.57498924624024,-0.82441957497668,0,0
"CM002237.1.75924.76724",2.20174398492992,2.77355283120741,2.58907206136268,-0.817867404386322,0,0
"CM002237.1.106519.107319",3.37770607693539,3.50803327246037,3.79030890469555,0,0,1.24269427154473
"CM002237.1.148034.148834",2.80450554654792,2.65545073454508,2.66832484987023,0,0,0
"CM002237.1.562360.563160",2.30548246830231,0,0,4.36796039792388,0,0
"CM002237.1.563902.564702",2.84615160195807,0.772706981493267,0,4.89777656657727,0,0
"CM002237.1.567205.568005",2.80599475751416,1.08380296383408,0.707867822746726,4.98077947460998,0,0
"CM002237.1.570012.570812",2.67843332101345,1.30403708234825,0.689710668796696,5.06959955366686,0,0
"CM002237.1.584652.585452",1.37597024172567,0,0,4.42410643664507,0,0
